content,x,y
Kein Gefahrgut im Sinne dieser,"65.318","2259.505"
Kein Gefahrgut im Sinne dieser,"185.115","2259.505"
Kein Gefahrgut im Sinne dieser,"305.16202","2259.505"
Kein Gefahrgut im Sinne dieser,"425.209","2259.505"
"Kein Gefahrgut im Sinne dieser Transportvorschriften.","62.927998","2149.108"
Keine Daten verfügbar,"70.298","262.35797"
Keine Daten verfügbar,"70.298","289.70197"
Keine Daten verfügbar,"70.298","317.04596"
Keine Daten verfügbar,"70.298","367.72998"
Keine Daten verfügbar,"70.298","395.07397"
Keine Daten verfügbar,"70.298","422.418"
Keine Daten verfügbar,"70.298","615.194"
Keine Daten verfügbar,"70.298","642.53796"
Keine Daten verfügbar,"70.298","669.882"
Keine Daten verfügbar,"70.298","720.566"
Keine Daten verfügbar,"70.298","747.91"
Keine Daten verfügbar,"70.298","775.25397"
Keine Daten verfügbar,"70.298","1042.8989"
Keine Daten verfügbar,"70.298","1070.2429"
Keine Daten verfügbar,"70.298","1097.5869"
Keine Daten verfügbar,"70.298","1124.9309"
Keine Daten verfügbar,"70.298","1175.615"
Keine Daten verfügbar,"70.298","1215.367"
Keine Daten verfügbar,"70.298","1242.7109"
Keine Daten verfügbar,"70.298","1307.3989"
Keine Daten verfügbar,"70.298","1334.7429"
Keine Daten verfügbar,"70.298","1397.835"
Keine Daten verfügbar,"70.298","1425.179"
Keine Daten verfügbar,"70.298","1475.863"
Keine Daten verfügbar,"70.298","1503.207"
Keine Daten verfügbar,"70.298","1530.551"
Keine Daten verfügbar,"70.298","1557.895"
Keine Daten verfügbar,"70.298","1585.239"
Keine Daten verfügbar,"70.298","1612.583"
Keine Daten verfügbar,"70.298","1872.3799"
Keine Daten verfügbar,"70.298","1923.064"
Keine Daten verfügbar,"70.298","1950.408"
Keine Daten verfügbar,"70.298","1977.752"
Keine Daten verfügbar,"70.298","2005.096"
Keine Daten verfügbar,"70.298","2032.44"
Keine Daten verfügbar,"70.298","2059.784"
Keine Daten verfügbar,"70.298","2110.468"
Keine Daten verfügbar,"70.298","2726.677"
Keine Daten verfügbar,"70.298","2754.021"
Keine Daten verfügbar,"70.298","2804.705"
Keine Daten verfügbar,"70.298","2832.049"
Keine Daten verfügbar,"70.298","2859.393"
Keine Daten verfügbar,"70.298","2899.145"
Keine Daten verfügbar,"70.298","3018.097"
Keine Daten verfügbar,"70.298","3045.441"
Konzen-,"472.968","487.74298"
Landtransport (ADR/ Binnenschiffs-,"66.128","2165.8079"
"Lebensgefahr bei Einatmen.","159.247","2953.23"
"Lebensgefahr bei Verschlucken.","159.247","2941.53"
Lufttransport (ICAO-,"426.019","2165.8079"
Notfällen anzuwendende Verfahren,"64.629","1031.643"
Produktidenti-,"71.497","487.74298"
RID),"66.128","2176.608"
Rechtsvorschriften für den Stoff oder das Gemisch,"64.629","2715.421"
"Repr. 2, STOT RE 1","185.64699","528.74304"
SDBcheck Reinstoff Import Abamectin,"64.629","133.65002"
SDBcheck Reinstoff Import Abamectin,"71.129","221.24402"
SDBcheck Reinstoff Import Abamectin,"64.629","975.539"
SDBcheck Reinstoff Import Abamectin,"64.629","1817.428"
SDBcheck Reinstoff Import Abamectin,"64.629","2659.317"
SICHERHEITSDATENBLATT,"64.629","56.389038"
SICHERHEITSDATENBLATT,"64.629","898.278"
SICHERHEITSDATENBLATT,"64.629","1740.167"
SICHERHEITSDATENBLATT,"64.629","2582.0562"
Schutzausrüstungen,"64.629","1277.979"
"Schädigt die Organe bei längerer oder wiederholter Exposition. (...)","159.247","2976.63"
Seeschiffstransport,"305.97202","2165.8079"
"Sehr giftig für Wasserorganismen mit langfristiger Wirkung.","159.247","2988.33"
Seite 1/4,"64.629","115.862"
Seite 2/4,"64.629","957.751"
Seite 3/4,"64.629","1799.6399"
Seite 4/4,"64.629","2641.529"
Stoffname,"185.64699","487.74298"
TI / IATA-DGR),"426.019","2176.608"
"Transportvorschriften.","66.128","2230.1519"
"Transportvorschriften.","185.925","2230.1519"
"Transportvorschriften.","305.97202","2230.1519"
