content,x,y
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"102.0","1501.6799"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"102.0","2008.8"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"102.0","2291.52"
ABSCHNITT 7: Handhabung und Lagerung,"102.0","2712.24"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/,"102.0","2939.52"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"102.0","3998.88"
"Abteilung Produktsicherheit Tel.0049-9861/7007-21, -49, -55","102.0","8605.2"
Achtung: Verschiedene gefährliche Stoffe und,"304.8","7296.7197"
"Aerosolbildung vermeiden.","102.0","2752.08"
Anhang II des MARPOL-Übereinkommens,"102.0","7371.6"
Aquatic Chronic 1: Gewässergefährdend - langfristig gewässergefährdend – Kategorie 1,"102.0","8674.32"
"Aquatic Chronic 2 H411 Giftig für Wasserorganismen, mit langfristiger Wirkung.","102.0","473.04"
"Aquatic Chronic 2, H411","255.84","1271.76"
"Aquatic Chronic 2, H411","255.84","1332.24"
"Aquatic Chronic 2, H411","255.84","1418.64"
Aquatic Chronic 2: Gewässergefährdend - langfristig gewässergefährdend – Kategorie 2,"102.0","8683.439"
"Arzt konsultieren.","102.0","1858.0801"
"Asp. Tox. 1, H304","255.84","1381.2"
"Asp. Tox. 1: Aspirationsgefahr – Kategorie 1","102.0","8665.2"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","102.0","5627.52"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","102.0","5662.08"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","102.0","5685.12"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","102.0","5708.16"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","102.0","5731.2"
Augen bei geöffnetem Lidspalt mehrere Minuten unter fließendem Wasser abspülen und,"102.0","1846.56"
"Augen mehrere Minuten bei geöffnetem Lidspalt unter fließendem Wasser spülen. Bei","102.0","1869.6"
"Bei Bewusstlosigkeit Lagerung und Transport in stabiler Seitenlage.","102.0","1564.56"
"Bei Eindringen in Gewässer oder Kanalisation zuständige Behörden benachrichtigen.","102.0","2365.92"
Bei Hautreizung oder -ausschlag: Ärztlichen Rat einholen/ärztliche Hilfe,"186.71999","1027.9199"
Bei Vollkontakt sollten Sie Handschuhe aus Nitrilkautschuk mit einer Schichtstärke von,"102.0","3647.28"
"Bei andauernder Hautreizung Arzt aufsuchen.","102.0","1587.6"
"Bei unzureichender Belüftung Atemschutz.","102.0","3601.2"
"Berührung mit den Augen und der Haut vermeiden.","102.0","3578.16"
"Beschmutzte, getränkte Kleidung sofort ausziehen.","102.0","3555.12"
Beschäftigungsbeschränkungen für Jugendliche nach §22 Jugendarbeitsschutzgesetz,"102.0","8081.52"
"Bi s ( i s o p r op y l ) n aph t h a l i n ), M A R INE","304.8","7064.16"
Bi sp h en o l - A - E p i ch l o rh yd r i n h arz e m i t,"269.28","5302.08"
Bi sp h en o l - A - E p i ch l o rh yd r i n h arz e m i t,"269.28","6109.6797"
Bis(isopropyl)naphthalin,"255.84","1368.24"
Bisphenol-F-Epichlorhydrinharze MG ,"102.0","649.44"
Bisphenol-F-Epichlorhydrinharze MG ,"255.84","1307.76"
Brandrückstände und kontaminiertes Löschwasser müssen entsprechend den behördlichen,"102.0","2244.48"
C13/C15-Alkylglycidylether,"102.0","660.96"
C13/C15-Alkylglycidylether,"255.84","1405.6799"
CAS: 25068-38-6,"102.0","1224.24"
CAS: 38640-62-9,"102.0","1368.24"
CAS: 68081-84-5,"102.0","1405.6799"
CAS: 9003-36-5,"102.0","1307.76"
"CO2, Löschpulver oder Wassersprühstrahl. Größeren Brand mit alkoholbeständigem","102.0","2048.64"
Chlorwasserstoff (HCl),"102.0","2129.28"
Code: E1,"304.8","7721.04"
Code: E1,"304.8","7826.88"
D,"509.28","772.8"
D,"509.28","1607.28"
D,"509.28","2454.72"
D,"509.28","3253.92"
D,"509.28","4113.84"
D,"509.28","4956.2397"
D,"509.28","5741.7603"
D,"509.28","6665.5195"
D,"509.28","7451.04"
D,"509.28","8339.28"
D,"509.28","8693.52"
D-91541 Rothenburg ob der Tauber,"102.0","305.51996"
"DNEL/DMEL Werte 4,3 mg/kg (Arbeiter (Langzeitwert):)","144.71999","3072.96"
"Darf nicht zusammen mit Hausmüll entsorgt werden. Nicht in die Kanalisation gelangen","102.0","6539.28"
"Das Produkt enthält keine relevanten Mengen von Stoffen mit arbeitsplatzbezogenen, zu","102.0","3018.24"
Das Produkt enthält umweltgefährdende,"304.8","7210.32"
"Das Produkt ist gemäß CLP-Verordnung eingestuft und gekennzeichnet.","102.0","509.76"
"Das Produkt ist nicht explosionsgefährlich.","304.31998","4498.32"
"Das Produkt ist nicht selbstentzündlich.","304.31998","4481.04"
"Der Wortlaut der angeführten Gefahrenhinweise ist dem Abschnitt 16 zu entnehmen.","102.0","1466.1599"
Dermal,"102.0","3072.96"
Dermal,"102.0","5342.4"
Dermal,"102.0","5385.6"
Dermal,"102.0","5443.2"
Dichtschließende Schutzbrille,"147.12","3931.92"
Die Abfallschlüsselnummern müssen branchenspezifisch vom Abfallerzeuger vergeben,"102.0","6573.84"
"Die Angaben stützen sich auf den heutigen Stand unserer Kenntnisse, sie stellen jedoch","102.0","8236.8"
"Die Auswahl eines geeigneten Handschuhs ist nicht nur vom Material, sondern auch von","102.0","3843.1199"
"Die einzusetzenden Schutzhandschuhe müssen der Anforderung der EU-Richtlinie 89/686/ EWG und der sich daraus ergebenden harmonisierenden Norm EN374 genügen,","102.0","3670.32"
"Diese Empfehlung gilt nur für das Produkt, das von uns geliefert wird und den von uns","102.0","3727.92"
"Druckdatum: 17.01.2019","82.8","79.44"
"Druckdatum: 17.01.2019","82.8","921.12"
"Druckdatum: 17.01.2019","82.8","1762.8"
"Druckdatum: 17.01.2019","82.8","2604.48"
"Druckdatum: 17.01.2019","82.8","3446.16"
"Druckdatum: 17.01.2019","82.8","4287.84"
"Druckdatum: 17.01.2019","82.8","5129.52"
"Druckdatum: 17.01.2019","82.8","5971.1997"
"Druckdatum: 17.01.2019","82.8","6812.88"
"Druckdatum: 17.01.2019","82.8","7654.56"
"Druckdatum: 17.01.2019","82.8","8496.24"
