content,x,y
9,"203.12701","6964.672"
9,"323.174","6964.672"
9,"443.18","6964.591"
"9.1. Angaben zu den grundlegenden physikalischen und chemischen","64.629","4386.791"
"9.2. Sonstige Angaben","64.629","4739.607"
"> 480 min. Geprüfte Schutzhandschuhe sind zu tragen DIN EN 374 Geeignetes Material:","70.298","3890.1938"
ABSCHNITT 10: Stabilität und Reaktivität,"64.629","4772.127"
ABSCHNITT 11: Toxikologische Angaben,"64.629","5210.516"
ABSCHNITT 12: Umweltbezogene Angaben,"64.629","5643.946"
ABSCHNITT 13: Hinweise zur Entsorgung,"64.629","6273.1875"
ABSCHNITT 14: Angaben zum Transport,"64.629","6541.216"
ABSCHNITT 15: Rechtsvorschriften,"64.629","7321.873"
ABSCHNITT 16: Sonstige Angaben,"64.629","7765.226"
ABSCHNITT 1: Bezeichnung des Stoffs beziehungsweise des Gemischs,"64.629","159.182"
ABSCHNITT 2: Mögliche Gefahren,"64.629","451.81"
ABSCHNITT 3: Zusammensetzung / Angaben zu Bestandteilen,"64.629","1208.614"
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"64.629","1365.614"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"64.629","1991.6829"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"64.629","2226.999"
ABSCHNITT 7: Handhabung und Lagerung,"64.629","2810.1719"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"64.629","3526.7378"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"64.629","4368.627"
AOX: nicht bestimmt,"70.298","6219.5234"
Abfallbehandlungslösungen,"64.629","6413.0674"
Abfallschlüssel Produkt:,"64.629","6351.8076"
Abfallschlüssel Verpackung:,"64.629","6382.008"
Abfallschlüssel/Abfallbezeichnungen gemäß EAK/AVV,"64.629","6339.2075"
"Abfälle a. n. g.","125.647","6364.6484"
"Abfälle a. n. g.","125.647","6394.8486"
Achtung H315,"195.247","1330.511"
Achtung H362-H410-EUH066,"195.247","1296.403"
Aggregatzustand: fest,"71.999","4425.4546"
Akute dermale Toxizität:,"64.629","5311.282"
Akute inhalative Toxizität:,"64.629","5334.682"
Akute orale Toxizität:,"64.629","5287.882"
Alkalien (Laugen),"70.298","4921.7227"
"Alkane, C14-17-, Chlor-Chlorie","149.647","3650.983"
"Alkane, C14-17-, Chlor-Chlorierte Paraffine,","126.589005","5254.177"
"Alkane, C14-17-, Chlor-Chlorierte Paraffine,","126.589005","5687.607"
"Alkane, C14-17-, Chlor-Chlorierte Paraffine, C14-17","184.047","1274.475"
"Alkane, C14-17-, Chlor-Chlorierte Paraffine, C14-17","126.589005","6156.4565"
"Alkanes, C14-17, chloro-)","303.902","6647.2085"
"Alkanes, C14-17, chloro-)","423.949","6647.2085"
Allgemeine Angaben:,"64.629","1396.834"
"Allgemeine Schutz- und Hygienemaßnahmen: Am Arbeitsplatz nicht essen, trinken, rauchen, schnupfen.","70.298","4001.794"
Anforderungen an Lagerräume und Behälter:,"64.629","3026.344"
Aquatische Toxizität:,"64.629","5747.258"
Aspirationsgefahr:,"64.629","5545.282"
Atemschutz:,"64.629","3924.394"
Augen-/Gesichtsschutz:,"64.629","3812.794"
"Augenreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.","70.298","1596.634"
Ausrufezeichen,"81.871994","701.14795"
Aussehen,"64.629","4414.315"
"BEI BERÜHRUNG MIT DER HAUT: Mit viel Wasser/... waschen.","157.647","1145.883"
"BEI KONTAKT MIT DER KLEIDUNG: Beschmutzte, durchtränkte Kleidung wechseln. Bei Berührung mit","70.298","1519.2339"
"Bearbeitungsdatum: 05.12.2017","64.629","82.262024"
"Bearbeitungsdatum: 05.12.2017","64.629","924.151"
"Bearbeitungsdatum: 05.12.2017","64.629","1766.04"
"Bearbeitungsdatum: 05.12.2017","64.629","2607.929"
"Bearbeitungsdatum: 05.12.2017","64.629","3449.8179"
"Bearbeitungsdatum: 05.12.2017","64.629","4291.707"
"Bearbeitungsdatum: 05.12.2017","64.629","5133.596"
"Bearbeitungsdatum: 05.12.2017","64.629","5975.485"
"Bearbeitungsdatum: 05.12.2017","64.629","6817.374"
"Bearbeitungsdatum: 05.12.2017","64.629","7659.263"
Begrenzte Menge,"64.327995","7120.4927"
Begrenzte Menge,"184.125","7120.4927"
Begrenzte Menge,"304.172","7120.4927"
Begrenzte Menge,"424.219","7120.4927"
"Behandlung.","70.298","1970.419"
"Behälter dicht geschlossen halten und an einem kühlen, gut gelüfteten Ort aufbewahren.","70.298","3013.744"
Bei Berührung mit den Augen sofort bei geöffnetem Lidspalt 10 bis 15 Minuten mit fließendem Wasser,"70.298","1564.2339"
"Bei Berührung mit der Haut sofort abwaschen mit viel Wasser und Seife.","70.298","1497.634"
