content,x,y
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"33.34332","2665.2827"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"33.34332","2966.211"
ABSCHNITT 7: Handhabung und Lagerung,"32.86356","3442.3953"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"33.10344","3839.1555"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"33.10344","4282.716"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"33.10344","5124.716"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"33.34332","5394.46"
ADR,"221.88899","8575.0"
AKUT GEWÄSSERGEFÄHRDEND - Kategorie 1,"256.6716","10592.791"
AKUTE TOXIZITÄT (Dermal) - Kategorie 4,"256.6716","10581.637"
AKUTE TOXIZITÄT (Einatmen) - Kategorie 3,"256.6716","10559.448"
AKUTE TOXIZITÄT (Oral) - Kategorie 4,"256.6716","10570.603"
AOX,"40.89954","9726.924"
ASPIRATIONSGEFAHR - Kategorie 1,"329.71506","7032.8877"
ASPIRATIONSGEFAHR - Kategorie 1,"329.71506","7055.6763"
ASPIRATIONSGEFAHR - Kategorie 1,"256.6716","10615.222"
ATE = Schätzwert akute Toxizität,"184.1079","10226.495"
ATE-Wert,"427.94592","6481.8633"
Abbaubarkeit,"435.9819","7411.7793"
Abfallbeseitigungsgesetze sowie den Anforderungen der örtlichen Behörden,"182.78856","7948.8906"
"Abfälle und Behälter müssen in gesicherter Weise beseitigt werden. Leere Behälter","182.78856","8249.701"
Abkürzungen und Akronyme,"34.1829","10226.495"
"Abschnitt 8 zu geeigneten und ungeeigneten Materialien zu beachten. Siehe auch","183.38826","3038.7808"
Abschnitte,"33.34332","3214.1328"
Absetzer),"349.98492","7298.9155"
"Abwasser beitragen.","179.67012","9738.198"
"Acute Tox. 3, H331","322.3987","1784.3058"
"Acute Tox. 3, H331","36.94152","10559.448"
"Acute Tox. 4, H302","322.3987","1773.0315"
"Acute Tox. 4, H302","36.94152","10570.603"
"Acute Tox. 4, H312","322.3987","1577.6292"
"Acute Tox. 4, H312","36.94152","10581.637"
"Akut EC50 0,022 mg/l","173.07341","7242.544"
"Akut EC50 0,16 ppm Frischwasser","173.07341","7264.9727"
Akut LC50 67 µg/l Frischwasser,"173.07341","7276.3667"
Akute Toxizität,"38.9805","6372.9565"
Akzo Nobel Deco GmbH,"182.54868","371.84998"
"AkzoNobel Decorative Coatings BV, Christian Neefestraat 2, 1077 WW Amsterdam, The Netherlands","33.70314","11183.158"
Algen - Scenedesmus,"349.98492","7242.544"
Allgemein,"44.497738","1061.5273"
Allgemein,"38.9805","2074.9204"
Am Coloneum 2,"182.54868","383.12433"
"An die frische Luft bringen. Person warm und ruhig halten. Bei nicht vorhandener","183.38826","2148.8035"
"Andere Gefahren, die zu","39.82008","1391.7222"
Anderer Hautschutz,"57.571198","5207.959"
Anhang XIV,"46.41678","9184.175"
Anhang XIV - Verzeichnis der zulassungspflichtigen Stoffe,"40.89954","9169.183"
Anhang XVII -,"39.82008","1197.0583"
Anhang XVII -,"40.89954","9365.424"
"Anweisungen / Spezifikationen des Schutzhandschuhherstellers.","196.1019","4908.568"
"Aquatic Acute 1, H400","36.94152","10592.791"
"Aquatic Acute 1, H400 (M=10)","322.3987","1829.4045"
"Aquatic Chronic 1, H410","36.94152","10603.827"
"Aquatic Chronic 1, H410 (M=1)","322.3987","1840.6788"
Arbeitsplatz-Grenzwerte,"38.620678","3936.1929"
"Arbeitstages ebenso wie vor dem Essen, Rauchen und einem Toilettenbesuch","196.94148","4669.8857"
"Asp. Tox. 1, H304","322.3987","1509.983"
"Asp. Tox. 1, H304","322.3987","1543.8062"
"Asp. Tox. 1, H304","36.94152","10615.222"
Aspirationsgefahr,"38.9805","7018.255"
Atemschutz,"57.571198","5244.901"
"Atemschutzgeräten zu ermitteln. Es sollte ein Hinweis auf Überprüfungsnormen","196.1019","4360.442"
Augen - Stark reizend,"173.07341","6571.578"
Augen-/Gesichtsschutz,"56.9715","4729.1377"
Augenkontakt,"38.9805","2111.862"
"Augenkontakt.","38.9805","2393.1226"
"Augenkontakt.","38.9805","6336.0146"
"Augenspülstationen und Sicherheitsduschen vorhanden sind.","196.94148","4714.9844"
Ausgabedatum/ 22-10-2017,"33.34332","817.7881"
Ausgabedatum/ 22-10-2017,"33.34332","1659.7881"
Ausgabedatum/ 22-10-2017,"33.34332","2501.788"
Ausgabedatum/ 22-10-2017,"33.34332","3343.788"
Ausgabedatum/ 22-10-2017,"33.34332","4185.788"
Ausgabedatum/ 22-10-2017,"33.34332","5027.788"
Ausgabedatum/ 22-10-2017,"33.34332","5869.788"
Ausgabedatum/ 22-10-2017,"33.34332","6711.788"
Ausgabedatum/ 22-10-2017,"33.34332","7553.788"
Ausgabedatum/ 22-10-2017,"33.34332","8395.788"
Ausgabedatum/ 22-10-2017,"33.34332","9237.788"
Ausgabedatum/ 22-10-2017,"33.34332","10079.788"
Ausgabedatum/ 22-10-2017,"35.62218","10726.046"
Ausgabedatum/ 22-10-2017,"33.34332","10921.788"
Ausgabedatum/ 22-10-2017,"33.34332","11763.788"
"Ausgetretenes Material mit unbrennbarem Aufsaugmittel (z.B. Sand, Erde,","183.38826","3129.0955"
Aussehen,"38.9805","5427.9277"
Auswirkungen auf,"357.4212","9509.832"
Auswirkungen auf,"454.69254","9509.832"
BCF,"305.48718","7480.2646"
Bedingungen,"33.34332","6109.09"
Begrenzung und,"57.571198","5349.607"
Begründung,"419.19028","10359.748"
"Behälter dicht geschlossen halten.","38.620678","3721.0195"
"Bei Auftreten von Symptomen oder bei allen Zweifelsfällen einen Arzt aufsuchen.","183.38826","2074.9204"
"Bei Brand entsteht dichter, schwarzer Rauch. Die Einwirkung der","183.38826","2788.4648"
Bei Verschlucken sofort ärztlichen Rat einholen und Verpackung oder Etikett,"183.38826","2222.6877"
"Bei der Entsorgung sind alle relevanten Bestimmungen von Bund, Ländern und","182.78856","8045.202"
Beobachtung,"482.75848","6543.752"
"Bereichen durchführen. Atemschutz bei Staub- und Sprühnebelentwicklung.","194.42273","5312.546"
"Berührung mit den Augen und der Haut vermeiden. Einatmen des Dampfes,","182.78856","3497.6924"
Beschränkung der,"39.82008","1208.8125"
Beschränkung der,"40.89954","9377.179"
Besondere,"38.9805","2921.478"
Besondere,"38.3808","8249.701"
Besondere Behandlungen,"38.9805","2615.5112"
Besonders besorgniserregende Stoffe,"46.41678","9213.32"
"Bestandteile, durch kurzfristige und langfristige Exposition über orale, inhalative und dermale Expositionswege sowie","38.9805","2381.8481"
"Bestandteile, durch kurzfristige und langfristige Exposition über orale, inhalative und dermale Expositionswege sowie","38.9805","6324.7407"
"Bestimmungen in einen dafür vorgesehenen Behälter geben (siehe Abschnitt 13).","183.38826","3151.6443"
"Bewußtlosigkeit in stabile Seitenlage bringen und ärztlichen Rat einholen.","183.38826","2097.4692"
Biologische,"435.9819","7400.025"
Boden/Wasser (KOC),"38.9805","7693.898"
Brandbekämpfung,"38.9805","2944.9863"
Butanonoxim,"36.461758","1577.6292"
Butanonoxim,"41.3793","3972.7747"
Butanonoxim,"41.73912","6571.578"
Butanonoxim,"43.658157","9537.898"
"C10-C13,n-Alkane,Isoalkane, 01-2119457273-39","36.461758","1555.0806"
"C11-C14,n-Alkane,Isoalkane, 01-2119456620-43","36.461758","1521.2573"
CAS: 55406-53-6,"169.1154","1784.3058"
CAS: 96-29-7,"169.1154","1611.4523"
CEPE-Code,"34.1829","10197.709"
CETOL HLS EXTRA,"230.28479","186.36157"
CETOL HLS EXTRA,"186.14688","263.30432"
CETOL HLS EXTRA,"33.34332","892.05096"
CETOL HLS EXTRA,"33.34332","1734.051"
CETOL HLS EXTRA,"33.34332","2576.051"
CETOL HLS EXTRA,"33.34332","3418.051"
CETOL HLS EXTRA,"33.34332","4260.051"
CETOL HLS EXTRA,"33.34332","5102.051"
