content,x,y
"9.1. Angaben zu den grundlegenden physikalischen und chemischen","64.629","3725.4888"
"9.2. Sonstige Angaben","64.629","3791.041"
A3,"424.219","5486.335"
ABSCHNITT 10: Stabilität und Reaktivität,"64.629","3823.561"
ABSCHNITT 11: Toxikologische Angaben,"64.629","4010.9648"
ABSCHNITT 12: Umweltbezogene Angaben,"64.629","4559.862"
ABSCHNITT 13: Hinweise zur Entsorgung,"64.629","4788.23"
ABSCHNITT 14: Angaben zum Transport,"64.629","4893.858"
ABSCHNITT 15: Rechtsvorschriften,"64.629","5621.115"
ABSCHNITT 16: Sonstige Angaben,"64.629","6052.405"
ABSCHNITT 1: Bezeichnung des Stoffs beziehungsweise des Gemischs,"64.629","159.182"
ABSCHNITT 2: Mögliche Gefahren,"64.629","350.90997"
ABSCHNITT 3: Zusammensetzung / Angaben zu Bestandteilen,"64.629","1258.1"
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"64.629","1442.94"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"64.629","2013.283"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"64.629","2192.7988"
ABSCHNITT 7: Handhabung und Lagerung,"64.629","2684.849"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"64.629","2881.229"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"64.629","3707.325"
Abfallbehandlungslösungen,"64.629","4821.51"
Aggregatzustand: Flüssig,"71.999","3764.1528"
"Akute Toxizität (dermal) (Acute Tox. 3)","69.897","428.47098"
"Akute Toxizität (dermal) (Acute Tox. 3)","69.897","6224.406"
Akute Toxizität (inhalativ),"69.897","504.07098"
Akute Toxizität (inhalativ),"69.897","6300.006"
"Akute Toxizität (oral) (Acute Tox. 3)","69.897","416.771"
"Akute Toxizität (oral) (Acute Tox. 3)","69.897","6212.7056"
Akute dermale Toxizität:,"64.629","4065.585"
Akute inhalative Toxizität:,"64.629","4088.9849"
Akute orale Toxizität:,"64.629","4042.1848"
Allgemeine Angaben:,"64.629","1474.1599"
Aquatische Toxizität:,"64.629","4591.082"
Aspirationsgefahr:,"64.629","4504.398"
"Atembeschwerden oder Atemstillstand künstliche Beatmung einleiten. Keine Mund-zu-Mund oder Mund-","70.298","1596.56"
"Atemstillstand künstliche Beatmung einleiten. Keine Mund-zu-Mund oder Mund-zu-Nasen Beatmung.","70.298","1870.731"
Augen-/Gesichtsschutz:,"64.629","3577.117"
Aussehen,"64.629","3753.013"
BOELV (EU),"69.897","3058.618"
"Bearbeitungsdatum: 27.06.2018","64.629","82.262024"
"Bearbeitungsdatum: 27.06.2018","64.629","924.151"
"Bearbeitungsdatum: 27.06.2018","64.629","1766.04"
"Bearbeitungsdatum: 27.06.2018","64.629","2607.929"
"Bearbeitungsdatum: 27.06.2018","64.629","3449.8179"
"Bearbeitungsdatum: 27.06.2018","64.629","4291.707"
"Bearbeitungsdatum: 27.06.2018","64.629","5133.596"
"Bearbeitungsdatum: 27.06.2018","64.629","5975.485"
"Beatmungsbeutel oder Beatmungsgerät verwenden. Sofort Mund ausspülen und reichlich Wasser","70.298","1881.531"
Begrenzte Menge,"64.327995","5475.535"
Begrenzte Menge,"304.172","5488.135"
Begrenzte Menge,"184.125","5498.935"
"Behälter dicht geschlossen halten und an einem kühlen, gut gelüfteten Ort aufbewahren.","70.298","2820.021"
"Bei Berührung mit der Haut sofort abwaschen mit viel Wasser und Seife. Alle kontaminierten","70.298","1574.96"
"Bei Brand: Gase/Dämpfe, giftig","70.298","2106.0469"
"Bei Brand: Gase/Dämpfe, giftig","70.298","3989.701"
Bei Hautkontakt:,"64.629","1564.1599"
"Bei Unfall oder Unwohlsein sofort Arzt hinzuziehen (wenn möglich, Betriebsanweisung oder","70.298","1484.96"
"Bei Unwohlsein ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen. Bei Atembeschwerden oder","70.298","1859.9309"
"Bei der Arbeit nicht essen, trinken, rauchen. Kontakt mit Augen und Haut ist zu vermeiden.","70.298","2767.669"
Besondere Vorschriften für ergänzende Kennzeichnungselemente für bestimmte Gemische:,"64.629","1144.6919"
"CAS-Nr.","69.897","4713.299"
"CAS-Nr.: 302-01-2","69.897","1325.561"
"CAS-Nr.: 302-01-2","149.647","3015.074"
"CAS-Nr.: 302-01-2","149.647","3041.646"
"CAS-Nr.: 302-01-2","149.647","3068.218"
"CAS-Nr.: 67-63-0","69.897","1387.509"
"CAS-Nr.: 67-63-0","149.647","3094.79"
"CAS-Nr.: 67-63-0","149.647","3192.606"
"CAS-Nr.: 67-63-0","149.647","3231.414"
CT1,"64.327995","5533.135"
